R.;player;vs_zerg;vs_protoss;vs_terran;total;win_rate;points;prize
1; 변현제 P ;17victorias, 10derrotas;8victorias, 3derrotas;11victorias, 12derrotas;61partidos, 36victorias, 25derrotas;59.00%;63.7p;\31,200,000(11victorias,7derrotas)
2; 김정우 Z ;12victorias, 2derrotas;11victorias, 9derrotas;9victorias, 7derrotas;50partidos, 32victorias, 18derrotas;64.00%;61.4p;\14,720,000(7victorias,10derrotas)
3; 유영진 T ;12victorias, 7derrotas;11victorias, 8derrotas;7victorias, 5derrotas;50partidos, 30victorias, 20derrotas;60.00%;54.0p;\25,960,000(9victorias,10derrotas)
4; 박상현 Z ;7victorias, 7derrotas;13victorias, 12derrotas;11victorias, 4derrotas;54partidos, 31victorias, 23derrotas;57.40%;53.4p;\24,560,000(8victorias,10derrotas)
5; 이제동 Z;9victorias, 5derrotas;10victorias, 3derrotas;9victorias, 9derrotas;45partidos, 28victorias, 17derrotas;62.20%;52.3p;\31,310,000(9victorias,4derrotas)
6; 김성대 Z ;5victorias, 7derrotas;8victorias, 0derrotas;9victorias, 5derrotas;34partidos, 22victorias, 12derrotas;64.70%;42.7p;\14,885,000(7victorias,4derrotas)
7; 장윤철 P ;8victorias, 8derrotas;6victorias, 3derrotas;9victorias, 5derrotas;39partidos, 23victorias, 16derrotas;59.00%;40.7p;\19,440,000(6victorias,6derrotas)
8; 박성균 T;10victorias, 5derrotas;7victorias, 4derrotas;3victorias, 1derrotas;30partidos, 20victorias, 10derrotas;66.70%;40.0p;\20,085,000(9victorias,3derrotas)
9; 이재호 T;8victorias, 6derrotas;7victorias, 9derrotas;6victorias, 1derrotas;37partidos, 21victorias, 16derrotas;56.80%;35.8p;\12,980,000(4victorias,8derrotas)
10; 김지성 T;13victorias, 17derrotas;11victorias, 9derrotas;2victorias, 8derrotas;60partidos, 26victorias, 34derrotas;43.30%;33.8p;\17,840,000(6victorias,13derrotas)
11; 윤수철 P;13victorias, 9derrotas;3victorias, 5derrotas;4victorias, 5derrotas;39partidos, 20victorias, 19derrotas;51.30%;30.8p;\15,750,000(7victorias,7derrotas)
12; 김명운 Z ;5victorias, 3derrotas;6victorias, 6derrotas;7victorias, 9derrotas;36partidos, 18victorias, 18derrotas;50.00%;27.0p;\23,440,000(7victorias,5derrotas)
13; 송병구 P;5victorias, 7derrotas;2victorias, 5derrotas;10victorias, 10derrotas;39partidos, 17victorias, 22derrotas;43.60%;22.2p;\17,280,000(7victorias,8derrotas)
14; 도재욱 P ;8victorias, 6derrotas;1victorias, 4derrotas;4victorias, 2derrotas;25partidos, 13victorias, 12derrotas;52.00%;20.3p;\19,740,000(6victorias,3derrotas)
15; 최호선 T;8victorias, 8derrotas;1victorias, 0derrotas;2victorias, 0derrotas;19partidos, 11victorias, 8derrotas;57.90%;19.1p;\6,000,000(4victorias,3derrotas)
16; 김택용 P ;5victorias, 5derrotas;3victorias, 2derrotas;2victorias, 3derrotas;20partidos, 10victorias, 10derrotas;50.00%;15.0p;\8,220,000(2victorias,3derrotas)
17; 조기석 T ;4victorias, 5derrotas;3victorias, 4derrotas;4victorias, 6derrotas;26partidos, 11victorias, 15derrotas;42.30%;14.0p;\6,770,000(3victorias,6derrotas)
18; 김경모 Z;1victorias, 1derrotas;1victorias, 8derrotas;8victorias, 6derrotas;25partidos, 10victorias, 15derrotas;40.00%;12.0p;\9,790,000(6victorias,5derrotas)
19; 원선재 P ;2victorias, 5derrotas;5victorias, 2derrotas;1victorias, 1derrotas;16partidos, 8victorias, 8derrotas;50.00%;12.0p;\6,940,000(4victorias,1derrotas)
20; 황병영 T ;2victorias, 4derrotas;4victorias, 5derrotas;3victorias, 4derrotas;22partidos, 9victorias, 13derrotas;40.90%;11.0p;\9,945,000(5victorias,3derrotas)
21; 임홍규 Z ;3victorias, 1derrotas;3victorias, 8derrotas;3victorias, 5derrotas;23partidos, 9victorias, 14derrotas;39.10%;10.6p;\12,670,000(4victorias,4derrotas)
22; 김민철 Z;1victorias, 6derrotas;4victorias, 1derrotas;3victorias, 4derrotas;19partidos, 8victorias, 11derrotas;42.10%;10.1p;\4,520,000(2victorias,4derrotas)
23; 어윤수 Z;2victorias, 3derrotas;4victorias, 1derrotas;0victorias, 3derrotas;13partidos, 6victorias, 7derrotas;46.20%;8.3p;\4,740,000(3victorias,2derrotas)
24; 임진묵 T;2victorias, 1derrotas;0victorias, 0derrotas;1victorias, 0derrotas;4partidos, 3victorias, 1derrotas;75.00%;6.8p;\1,310,000(1victorias,1derrotas)
25; 지동원 T;1victorias, 0derrotas;0victorias, 0derrotas;1victorias, 0derrotas;2partidos, 2victorias, 0derrotas;100.00%;6.0p;\1,420,000(1victorias,0derrotas)
26; 김윤중 P ;2victorias, 5derrotas;2victorias, 2derrotas;1victorias, 1derrotas;13partidos, 5victorias, 8derrotas;38.50%;5.8p;\7,530,000(3victorias,3derrotas)
27; 조일장 Z ;3victorias, 6derrotas;2victorias, 7derrotas;2victorias, 6derrotas;26partidos, 7victorias, 19derrotas;26.90%;5.7p;\11,420,000(5victorias,5derrotas)
28; 김윤환 Z;1victorias, 1derrotas;2victorias, 3derrotas;1victorias, 1derrotas;9partidos, 4victorias, 5derrotas;44.40%;5.3p;\4,150,000(2victorias,1derrotas)
29; 박수범 P;2victorias, 3derrotas;1victorias, 1derrotas;1victorias, 3derrotas;11partidos, 4victorias, 7derrotas;36.40%;4.4p;\2,930,000(2victorias,1derrotas)
30; 정영재 T ;2victorias, 0derrotas;0victorias, 1derrotas;0victorias, 0derrotas;3partidos, 2victorias, 1derrotas;66.70%;4.0p;\3,960,000(1victorias,0derrotas)
31; 김범수 P;0victorias, 0derrotas;0victorias, 0derrotas;1victorias, 0derrotas;1partidos, 1victorias, 0derrotas;100.00%;3.0p;\1,520,000(1victorias,0derrotas)
32; 윤찬희 T;2victorias, 4derrotas;0victorias, 1derrotas;0victorias, 0derrotas;7partidos, 2victorias, 5derrotas;28.60%;1.7p;\1,280,000(1victorias,2derrotas)
33; 이영호 T;1victorias, 1derrotas;0victorias, 0derrotas;0victorias, 0derrotas;2partidos, 1victorias, 1derrotas;50.00%;1.5p;\4,000,000(1victorias,0derrotas)
34; 박현재 T ;0victorias, 0derrotas;1victorias, 1derrotas;0victorias, 0derrotas;2partidos, 1victorias, 1derrotas;50.00%;1.5p;\0(0victorias,2derrotas)
35; 김학수 P;0victorias, 0derrotas;0victorias, 0derrotas;1victorias, 1derrotas;2partidos, 1victorias, 1derrotas;50.00%;1.5p;\2,730,000(1victorias,0derrotas)
36; 방태수 Z;2victorias, 5derrotas;0victorias, 6derrotas;1victorias, 5derrotas;19partidos, 3victorias, 16derrotas;15.80%;1.4p;\0(0victorias,7derrotas)
37; 진영화 P;1victorias, 2derrotas;1victorias, 4derrotas;0victorias, 2derrotas;10partidos, 2victorias, 8derrotas;20.00%;1.2p;\1,630,000(1victorias,3derrotas)
38; 김태영 T ;0victorias, 2derrotas;1victorias, 1derrotas;0victorias, 0derrotas;4partidos, 1victorias, 3derrotas;25.00%;0.8p;\0(0victorias,1derrotas)
39; 홍덕 P;1victorias, 2derrotas;0victorias, 0derrotas;0victorias, 1derrotas;4partidos, 1victorias, 3derrotas;25.00%;0.8p;\1,520,000(1victorias,1derrotas)
40; 김재현 T;0victorias, 3derrotas;1victorias, 0derrotas;0victorias, 1derrotas;5partidos, 1victorias, 4derrotas;20.00%;0.6p;\5,130,000(2victorias,0derrotas)
41; 신상문 T;1victorias, 0derrotas;0victorias, 2derrotas;0victorias, 3derrotas;6partidos, 1victorias, 5derrotas;16.70%;0.5p;\0(0victorias,2derrotas)
42; 이예훈 Z;0victorias, 3derrotas;0victorias, 0derrotas;0victorias, 0derrotas;3partidos, 0victorias, 3derrotas;0.00%;0.0p;\1,025,000(1victorias,0derrotas)
43; 김성민 P;0victorias, 1derrotas;0victorias, 0derrotas;0victorias, 1derrotas;2partidos, 0victorias, 2derrotas;0.00%;0.0p;\0(0victorias,1derrotas)
44; 이창우 Z;0victorias, 1derrotas;0victorias, 0derrotas;0victorias, 2derrotas;3partidos, 0victorias, 3derrotas;0.00%;0.0p;\0(0victorias,1derrotas)
45; 손찬웅 P;0victorias, 1derrotas;0victorias, 1derrotas;0victorias, 0derrotas;2partidos, 0victorias, 2derrotas;0.00%;0.0p;\0(0victorias,1derrotas)
